1,2,3,4,5,6,7,num
301,"Culpable homicide by causing death of person other than person whose death was
intended.","—If a person, by doing anything which he intends or knows to be likely to cause death,
commits culpable homicide by causing the death of any person, whose death he neither intends nor knows
himself to be likely to cause, the culpable homicide committed by the offender is of the description of
which it would have been if he had caused the death of the person whose death he intended or knew
himself to he likely to cause.",Did the accused cause death of some other person instead of the person he intended to cause death of?,,,,299
302,Punishment for murder.—,"Whoever commits murder shall be punished with death or
1
[imprisonment for life], and shall also be liable to fine.",,,,,300
303,Punishment for murder by life-convict,"Whoever, being under sentence of 1
[imprisonment
for life], commits murder, shall be punished with death.",Is the accused under sentence of imprisonment of life?,,,,301
304,Punishment for culpable homicide not amounting to murder.,"Whoever commits culpable
homicide not amounting to murder, shall be punished with 1
[imprisonment for life], or imprisonment of
either description for a term which may extend to ten years, and shall also be liable to fine, if the act by
which the death is caused is done with the intention of causing death, or of causing such bodily injury as
is likely to cause death;
or with imprisonment of either description for a term which may extend to ten years, or with fine, or
with both, if the act is done with the knowledge that it is likely to cause death, but without any intention
to cause death, or to cause such bodily injury as is likely to cause death.",Did the accused commit culpable homicide but it did not result in murder?,Did the accused have both the knowledge and intention that the commited act would cause death of the person?,Did the accused know that the act is likely to cause death but did not have an intention to cause death?,,302
304A, Causing death by negligence,"Whoever causes the death of any person by doing any rash
or negligent act not amounting to culpable homicide, shall be punished with imprisonment of either
description for a term which may extend to two years, or with fine, or with both.]",Was the death caused because of negligence or a rash act?,,,"shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both",303
304B,Dowry death,"(1) Where the death of a woman is caused by any burns or bodily injury or
occurs otherwise than under normal circumstances within seven years of her marriage and it is shown that
soon before her death she was subjected to cruelty or harassment by her husband or any relative of her
husband for, or in connection with, any demand for dowry, such death shall be called “dowry death”, and
such husband or relative shall be deemed to have caused her death.
Explanation.—For the purposes of this sub-section, “dowry” shall have the same meaning as in
section 2 of the Dowry Prohibition Act, 1961 (28 of 1961).
(2) Whoever commits dowry death shall be punished with imprisonment for a term which shall not be
less than seven years but which may extend to imprisonment for life",Was the woman subjected to harrasment soon before her death by her husband or his relatives regarding dowry?,Did the death of woman take place within 7 years of marriage?,,Whoever commits dowry death shall be punished with imprisonment for a term which shall not be less than seven years but which may extend to imprisonment for life.],304
305,Abetment of suicide of child or insane person,"If any person under eighteen years of age,
any insane person, any delirious person, any idiot, or any person in a state of intoxication, commits
suicide, whoever abets the commission of such suicide, shall be punished with death or 1
[imprisonment
for life], or imprisonment for a term not exceeding ten years, and shall also be liable to fine.
",Did the accused instigate the victim to commit suicide?,Was the victim a person below the age of 18 or insane or intoxicated or in a disturbed state of mind?,,"shall be punished with death or 1 [imprisonment for life], or imprisonment for a term not exceeding ten years, and shall also be liable to fine.",305
306,Abetment of suicide ,"—If any person commits suicide, whoever abets the commission of such
suicide, shall be punished with imprisonment of either description for a term which may extend to ten
years, and shall also be liable to fine",Did the accused instigate the victim to commit suicide?,,,"shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",306
307,Attempt to murder.—,"—Whoever does any act with such intention or knowledge, and under such
circumstances that, if he by that act caused death, he would be guilty of murder, shall be punished with
imprisonment of either description for a term which may extend to ten years, and shall also be liable to
fine; and if hurt is caused to any person by such act, the offender shall be liable either to 1
[imprisonment
for life], or to such punishment as is hereinbefore mentioned.
Attempts by life-convicts.—4
[When any person offending under this section is under sentence of
1
[imprisonment for life], he may, if hurt is caused, be punished with death.]
Illustrations
(a) A shoots at Z with intention to kill him, under such circumstances that, if death ensued A would be guilty of murder. A is
liable to punishment under this section.
(b) A, with the intention of causing the death of a child of tender years, exposes it in a desert place A has committed the
offence defined by this section, though the death of the child does not ensue(c) A, intending to murder Z, buys a gun and loads it. A has not yet committed the offence. A fires the gun at Z. He has
committed the offence defined in this section, and, if by such firing he wounds Z, he is liable to the punishment provided by the
latter part of 1
[the first paragraph of] this section.
(d) A, intending to murder Z by poison, purchases poison and mixes the same with food which remains in A's keeping; A
has not yet committed the offence defined in this section. A places the food on Z's table or delivers it to Z's servants to place it on
Z's table. A has committed the offence defined in this section.
",,,,"shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine; and if hurt is caused to any person by such act, the offender shall be liable either to 2 [imprisonment for life], or to such punishment as is hereinbefore mentioned.",307
308,Attempt to commit culpable homicide.,"—Whoever does any act with such intention or
knowledge and under such circumstances that, if he by that act caused death, he would be guilty of
culpable homicide not amounting to murder, shall be punished with imprisonment of either description
for a term which may extend to three years, or with fine, or with both; and, if hurt is caused to any person
by such act, shall be punished with imprisonment of either description for a term which may extend to
seven years, or with fine, or with both",,,,", if he by that act caused death, he would be guilty of culpable homicide not amounting to murder, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both; and, if hurt is caused to any person by such act, shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both",308
309,Attempt to commit suicide.—," Whoever attempts to commit suicide and does any act towards
the commission of such offence, shall be punished with simple imprisonment for a term which may
extend to one year 2[or with fine, or with both.",,,,"shall be punished with simple imprisonment for a term which may  extend to one year 2[or with fine, or with both.]",309
310,Thug,"Whoever, at any time after the passing of this Act, shall have been habitually associated
with any other or others for the purpose of committing robbery or child-stealing by means of or
accompanied with murder, is a thug.",Did the accused murder someone during commiting a robbery or child-stealing?,,,"sec 311(shall be punished with 3[imprisonment for life], and shall also  be liable to fine)",310
311,Punishment,"Whoever is a thug, shall be punished with 3[imprisonment for life], and shall also  be liable to fine. 
",,,,,311
312,Causing Miscarraige,"Whoever voluntarily causes a woman with child to miscarry, shall, if such miscarriage be not caused in good faith for the purpose of saving the life of the woman, be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both; and, if the woman be quick with child, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine. Explanation.—A woman who causes herself to miscarry, is within the meaning of this section.",Was the miscarriage not caused to save the mother's life?,Was the woman pregnant with a living child?,,"shall, if such miscarriage be not caused in good faith for the purpose of saving the life of the woman, be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both; and, if the woman be quick with child, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",312
313,Causing Miscarraige without women's consent,"Whoever commits the offence defined in  the last preceding section without the consent of the woman, whether the woman is quick with child or  not, shall be punished with 3[imprisonment for life], or with imprisonment of either description for a term  which may extend to ten years, and shall also be liable to fine.  ",Was the miscarriage caused without the consent of the mother?,,,"shall be punished with 4 [imprisonment for life], or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine",313
314,Death caused by act done with intent to cause miscarriage.,"Whoever, with intent to cause the miscarriage of a woman with child, does any act which causes the death of such woman, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine; if act done without woman's consent.—and if the act is done without the consent of the woman,  shall be punished either with 3[imprisonment for life], or with the punishment above mentioned. 
Explanation.—It is not essential to this offence that the offender should know that the act is likely to  cause death. 
",Did the act of miscarriage that was caused also lead to the death of the woman bearing the child?,Was the miscarriage caused without the consent of the mother?,,"shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine; if act done without woman's consent.—and if the act is done without the consent of the woman, shall be punished either with 1 [imprisonment for life], or with the punishment above mentioned.",314
315,Act done with intent to prevent child being born alive or to cause it to die after birth,"Whoever before the birth of any child does any act with the intention of thereby preventing that child  from being born alive or causing it to die after its birth, and does by such act prevent that child from being  born alive, or causes it to die after its birth, shall, if such act be not caused in good faith for the purpose of  saving the life of the mother, be punished with imprisonment of either description for a term which may  extend to ten years, or with fine, or with both. ",,,,"be punished with imprisonment of either description for a term which may extend to ten years, or with fine, or with both.",315
316,Causing death of quick unborn child by act amounting to culpable homicide.,"Whoever  does any act under such circumstances, that if he thereby caused death he would be guilty of culpable  homicide, and does by such act cause the death of a quick unborn child, shall be punished with  imprisonment of either description for a term which may extend to ten years, and shall also be liable to  fine. 
",Is the accused guilty of culpable homicide?,Did the act caused death of an unborn living child?,,"shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",316
317,"Exposure and abandonment of child under twelve years, by parent or person having care of it.","Whoever being the father or mother of a child under the age of twelve years, or having the care of  such child, shall expose or leave such child in any place with the intention of wholly abandoning such  child, shall be punished with imprisonment of either description for a term which may extend to seven  years, or with fine, or with both. 
Explanation.—This section is not intended to prevent the trial of the offender for murder or culpable  homicide, as the case may be, if the child die in consequence of the exposure. 
",Is the child under the age of twelve?,Was the child left at the place with the intention of abandoning him?,,"shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both",317
318,Concealment of birth by secret disposal of dead body.,"Whoever, by secretly burying or  otherwise disposing of the dead body of a child whether such child die before or after or during its birth,  intentionally conceals or endeavors to conceal the birth of such child, shall be punished with  imprisonment of either description for a term which may extend to two years, or with fine, or with both. ",Was the dead body of a child secretly disposed off to conceal its birth?,,,"shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",318
319,Hurt,"Whoever causes bodily pain, disease or infirmity to any person is said to cause hurt.",,,,,319
320,Grievous hurt.,"The following kinds of hurt only are designated as “grievous”:—
First.—Emasculation.
Secondly.—Permanent privation of the sight of either eye.
Thirdly.—Permanent privation of the hearing of either ear.
Fourthly.—Privation of any member or joint.
Fifthly.—Destruction or permanent impairing of the powers of any member or joint.
Sixthly.—Permanent disfiguration of the head or face.
Seventhly.—Fracture or dislocation of a bone or tooth.
Eighthly.—Any hurt which endangers life or which causes the sufferer to be during the space of
twenty days in severe bodily pain, or unable to follow his ordinary pursuits.",,,,,320
321,voluntarily causing hurt,"Whoever does any act with the intention of thereby causing hurt to
any person, or with the knowledge that he is likely thereby to cause hurt to any person, and does thereby
cause hurt to any person, is said “voluntarily to cause hurt”.",,,,"323. Punishment for voluntarily causing hurt.—Whoever, except in the case provided for by section 334, voluntarily causes hurt, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine which may extend to one thousand rupees, or with both.",321
322,voluntarily causing grievous hurt,"Whoever voluntarily causes hurt, if the hurt which he
intends to cause or knows himself to be likely to cause is grievous hurt, and if the hurt which he causes is
grievous hurt, is said “voluntarily to cause grievous hurt”.",,,,"325. Punishment for voluntarily causing grievous hurt.—Whoever, except in the case provided for by section 335, voluntarily causes grievous hurt, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine",322
323,punishment for voluntarily causing hurt,"Whoever, except in the case provided for by
section 334, voluntarily causes hurt, shall be punished with imprisonment of either description for a term
which may extend to one year, or with fine which may extend to one thousand rupees, or with both.",,,,,323
324,Voluntarily causing hurt by dangerous weapons or means.,"Whoever, except in the case
provided for by section 334, voluntarily causes hurt by means of any instrument for shooting, stabbing or
cutting, or any instrument which, used as a weapon of offence, is likely to cause death, or by means of fire
or any heated substance, or by means of any poison or any corrosive substance, or by means of any
explosive substance or by means of any substance which it is deleterious to the human body to inhale, to
swallow, or to receive into the blood, or by means of any animal, shall be punished with imprisonment of
either description for a term which may extend to three years, or with fine, or with both.",Was the hurt not caused on provocation by some other person?,"Was the hurt caused by means of any instrument for shooting, stabbing or
cutting, or any instrument which, used as a weapon of offence, is likely to cause death, or by means of fire
or any heated substance, or by means of any poison or any corrosive substance, or by means of any
explosive substance or by means of any substance which it is deleterious to the human body to inhale, to
swallow, or to receive into the blood, or by means of any animal?",,"shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",324
325,Punishment for voluntarily causing grievous hurt.,"Whoever, except in the case provided for
by section 335, voluntarily causes grievous hurt, shall be punished with imprisonment of either
description for a term which may extend to seven years, and shall also be liable to fine.",,,,"shall be punished with imprisonment of either  description for a term which may extend to seven years, and shall also be liable to fine",325
326,Voluntarily causing grievous hurt by dangerous weapons or means.,"Whoever, except in
the case provided for by section 335, voluntarily causes grievous hurt by means of any instrument for
shooting, stabbing or cutting, or any instrument which, used as a weapon of offence, is likely to cause
death, or by means of fire or any heated substance, or by means of any poison or any corrosive substance,
or by means of any explosive substance, or by means of any substance which it is deleterious to the
human body to inhale, to swallow, or to receive into the blood, or by means of any animal, shall be
punished with 1[imprisonment for life], or with imprisonment of either description for a term which may
extend to ten years, and shall also be liable to fine.",Was the grevious hurt not caused on provocation by some other person?,"Was the grevious hurt caused by means of any instrument for shooting, stabbing or
cutting, or any instrument which, used as a weapon of offence, is likely to cause death, or by means of fire
or any heated substance, or by means of any poison or any corrosive substance, or by means of any
explosive substance or by means of any substance which it is deleterious to the human body to inhale, to
swallow, or to receive into the blood, or by means of any animal?",,"shall be  punished with 1[imprisonment for life], or with imprisonment of either description for a term which may  extend to ten years, and shall also be liable to fine",326
326A,"Voluntarily causing grievous hurt by use of acid, etc.","Whoever causes permanent or
partial damage or deformity to, or burns or maims or disfigures or disables, any part or parts of the body
of a person or causes grievous hurt by throwing acid on or by administering acid to that person, or by
using any other means with the intention of causing or with the knowledge that he is likely to cause such
injury or hurt, shall be punished with imprisonment of either description for a term which shall not be less
than ten years but which may extend to imprisonment for life, and with fine:
Provided that such fine shall be just and reasonable to meet the medical expenses of the treatment of
the victim:
Provided further that any fine imposed under this section shall be paid to the victim.",Did the accused throw or administer acid to the victim?,"Did the act cause any permanent or
partial damage or deformity to, or burns or maims or disfigures or disable, any part or parts of the body
of a person or cause grievous hurt?",,"shall be punished with imprisonment of either description for a term which shall not be less  than ten years but which may extend to imprisonment for life, and with fine: 
Provided that such fine shall be just and reasonable to meet the medical expenses of the treatment of  the victim
",327
326B,Voluntarily throwing or attempting to throw acid.,"Whoever throws or attempts to throw
acid on any person or attempts to administer acid to any person, or attempts to use any other means, with
the intention of causing permanent or partial damage or deformity or burns or maiming or disfigurement
or disability or grievous hurt to that person, shall be punished with imprisonment of either description for
a term which shall not be less than five years but which may extend to seven years, and shall also be
liable to fine.
Explanation 1.—For the purposes of section 326A and this section, ""acid"" includes any substance
which has acidic or corrosive character or burning nature, that is capable of causing bodily injury leading
to scars or disfigurement or temporary or permanent disability.
Explanation 2.—For the purposes of section 326A and this section, permanent or partial damage or
deformity shall not be required to be irreversible.",Did the accused attempt to throw or administer acid to the victim?,,,"shall be punished with imprisonment of either description for  a term which shall not be less than five years but which may extend to seven years, and shall also be  liable to fine.",328
327,"Voluntarily causing hurt to extort property, or to constrain to an illegal to an act","Whoever voluntarily causes hurt, for the purpose of extorting from the sufferer, or from any person
interested in the sufferer, any property or valuable security, or of constraining the sufferer or any person
interested in such sufferer to do anything which is illegal or which may facilitate the commission of an offence, shall be punished with imprisonment of either description for a term which may extend to ten
years, and shall also be liable to fine.",,,,"shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",329
328,"Causing hurt by means of poison, etc., with intent to commit and offence.","Whoever
administers to or causes to be taken by any person any poison or any stupefying, intoxicating or
unwholesome drug, or other thing with intent to cause hurt to such person, or with intent to commit or to
facilitate the commission of an offence or knowing it to be likely that he will thereby cause hurt, shall be
punished with imprisonment of either description for a term which may extend to ten years, and shall also
be liable to fine.",,,," shall be  punished with imprisonment of either description for a term which may extend to ten years, and shall also  be liable to fine",330
329,"Voluntarily causing grievous hurt to extort property, or to constrain to an illegal act.","Whoever voluntarily causes grievous hurt for the purpose of extorting from the sufferer or from any
person interested in the sufferer any property or valuable security, or of constraining the sufferer or any
person interested in such sufferer to do anything that is illegal or which may facilitate the commission of
an offence, shall be punished with 1[imprisonment for life], or imprisonment of either description for a
term which may extend to ten years, and shall also be liable to fine.",,,,"shall be punished with 1[imprisonment for life], or imprisonment of either description for a  term which may extend to ten years, and shall also be liable to fine",331
330,"Voluntarily causing hurt to extort confession, or to compel restoration of property.","Whoever voluntarily causes hurt, for the purpose of extorting from the sufferer or from any person
interested in the sufferer, any confession or any information which may lead to the detection of an offence
or misconduct, or for the purpose of constraining the sufferer or any person interested in the sufferer to
restore or to cause the restoration of any property or valuable security or to satisfy any claim or demand,
or to give information which may lead to the restoration of any property or valuable security, shall be
punished with imprisonment of either description for a term which may extend to seven years, and shall
also be liable to fine.",,,,"punished with imprisonment of either description for a term which may extend to seven years, and shall  also be liable to fine",332
331,"Voluntarily causing grievous hurt to extort confession, or to compel restoration of property.","Whoever voluntarily causes grievous hurt for the purpose of extorting from the sufferer or
from any person interested in the sufferer any confession or any information which may lead to the
detection of an offence or misconduct, or for the purpose of constraining the sufferer or any person
interested in the sufferer to restore or to cause the restoration of any property or valuable security, or to
satisfy any claim or demand or to give information which may lead to the restoration of any property or
valuable security, shall be punished with imprisonment of either description for a term which may extend
to ten years, and shall also be liable to fine.",,,,"shall be punished with imprisonment of either description for a term which may extend  to ten years, and shall also be liable to fine.",333
332,Voluntarily causing hurt to deter public servant from his duty,"Whoever voluntarily causes
hurt to any person being a public servant in the discharge of his duty as such public servant, or with intent
to prevent or deter that person or any other public servant from discharging his duty as such public
servant or in consequence of anything done or attempted to be done by that person in the lawful discharge
of his duty as such public servant, shall be punished with imprisonment of either description for a term
which may extend to three years, or with fine, or with both.",,,,"shall be punished with imprisonment of either description for a term  which may extend to three years, or with fine, or with both.",334
333,Voluntarily causing grievous hurt to deter public servant from his duty.,"Whoever
voluntarily causes grievous hurt to any person being a public servant in the discharge of his duty as such
public servant, or with intent to prevent or deter that person or any other public servant from discharging
his duty as such public servant, or in consequence of anything done or attempted to be done by that
person in the lawful discharge of his duty as such public servant, shall be punished with imprisonment of
either description for a term which may extend to ten years, and shall also be liable to fine.",,,,"shall be punished with imprisonment of  either description for a term which may extend to ten years, and shall also be liable to fine.",335
334,Voluntarily causing hurt on provocation.,"Whoever voluntarily causes hurt on grave and
sudden provocation, if he neither intends nor knows himself to be likely to cause hurt to any person other
than the person who gave the provocation, shall be punished with imprisonment of either description for a
term which may extend to one month, or with fine which may extend to five hundred rupees, or with both.",,,,"shall be punished with imprisonment of either description for a  term which may extend to one month, or with fine which may extend to five hundred rupees, or with both",336
335,Voluntarily causing grievous hurt on provocation,"Whoever 1[voluntarily] causes grievous
hurt on grave and sudden provocation, if he neither intends nor knows himself to be likely to cause
grievous hurt to any person other than the person who gave the provocation, shall be punished with
imprisonment of either description for a term which may extend to four years, or with fine which may
extend to two thousand rupees, or with both.",,,,"shall be punished with  imprisonment of either description for a term which may extend to four years, or with fine which may extend to two thousand rupees, or with both",337
336,Act endangering life or personal safety of others,"Whoever does any act so rashly or
negligently as to endanger human life or the personal safety of others, shall be punished with
imprisonment of either description for a term which may extend to three months or with fine which may
extend to two hundred and fifty rupees, or with both.",,,,"punished with  imprisonment of either description for a term which may extend to three months or with fine which may  extend to two hundred and fifty rupees, or with both",338
337,Causing hurt by act endangering life or personal safety of others,"Whoever causes hurt to
any person by doing any act so rashly or negligently as to endanger human life, or the personal safety of
others, shall be punished with imprisonment of either description for a term which may extend to six
months, or with fine which may extend to five hundred rupees, or with both.",,,," punished with imprisonment of either description for a term which may extend to six  months, or with fine which may extend to five hundred rupees, or with both",339
338,Causing grievous hurt by act endangering life or personal safety of others,"Whoever causes grievous hurt to any person by doing any act so rashly or negligently as to endanger human life, or
the personal safety of others, shall be punished with imprisonment of either description for a term which
may extend to two years, or with fine which may extend to one thousand rupees, or with both.",,,,"shall be punished with imprisonment of either description for a term which  may extend to two years, or with fine which may extend to one thousand rupees, or with both",340
339,Wrongful restraint.,"Whoever voluntarily obstructs any person so as to prevent that person
from proceeding in any direction in which that person has a right to proceed, is said wrongfully to restrain
that person.
Exception.—The obstruction of a private way over land or water which a person in good faith
believes himself to have a lawful right to obstruct, is not an offence within the meaning of this section.
Illustration
A obstructs a path along which Z has a right to pass, A not believing in good faith that he has a right to stop the path. Z is
thereby prevented from passing. A wrongfully restrains Z.",,,,"sec 341(punished with simple imprisonment for a term which may extend to one month, or with fine which may  extend to five hundred rupees, or with both)",341
340,Wrongful confinement,"Whoever wrongfully restrains any person in such a manner as to
prevent that person from proceedings beyond certain circumscribing limits, is said “wrongfully to
confine” that person.
Illustrations
(a) A causes Z to go within a walled space, and locks Z in Z is thus prevented from proceeding in any
direction beyond the circumscribing line of wall. A wrongfully confines Z.
(b) A places men with firearms at the outlets of a building, and tells Z that they will fire at Z if Z
attempts leave the building. A wrongfully confines Z.",,,,"sec 342(punished with imprisonment of either description for a term which may extend to one year, or with fine  which may extend to one thousand rupees, or with both)",342
341,Punishment for wrongful restraint.,"Whoever wrongfully restrains any person shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both",,,,,343
342,Punishment for wrongful confinement,"Whoever wrongfully confines any person shall be punished with imprisonment of either description for a term which may extend to one year, or with fine which may extend to one thousand rupees, or with both.",,,,,344
343,Wrongful confinement for three or more days.,"Whoever wrongfully confines any person for three days, or more, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both",,,,"shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both",345
344,Wrongful confinement for ten or more days,"Whoever wrongfully confines any person for ten days, or more, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.",,,,"shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.",346
345,Wrongful confinement of person for whose liberation writ has been issued,"Whoever keeps any person in wrongful confinement, knowing that a writ for the liberation of that person has been duly issued, shall be punished with imprisonment of either description for a term which may extend to two years in addition to any term of imprisonment to which he may be liable under any other section of this Chapter",,,,shall be punished with imprisonment of either description for a term which may extend to two years in addition to any term of imprisonment to which he may be liable under any other section of this Chapter,347
346,Wrongful confinement in secret.,"Whoever keeps any person in wrongful confinement, knowing that a writ for the liberation of that person has been duly issued, shall be punished with imprisonment of either description for a term which may extend to two years in addition to any term of imprisonment to which he may be liable under any other section of this Chapter",,,,shall be punished with imprisonment of either description for a term which may extend to two years in addition to any other punishment to which he may be liable for such wrongful confinement.,348
347,"Wrongful confinement to extort property, or constrain to illegal act","Whoever wrongfully confines any person for the purpose of extorting from the person confined, or from any person interested in the person confined, any property or valuable security or of constraining the person confined or any person interested in such person to do anything illegal or to give any information which may facilitate the commission of an offence, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.",,,,"shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine",349
348,"Wrongful confinement to extort confession, or compel restoration of property.","Whoever wrongfully confines any person for the purpose of extorting from the person confined or any person interested in the person confined any confession or any information which may lead to the detection of an offence or misconduct, or for the purpose of constraining the person confined or any person interested in the person confined to restore or to cause the restoration of any property or valuable security or to satisfy any claim or demand, or to give information which may lead to the restoration of any property or valuable security, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.",,,,"shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.",350
349,Force,"A person is said to use force to another if he causes motion, change of motion, or
cessation of motion to that other, or if he causes to any substance such motion, or change of motion, or
cessation of motion as brings that substance into contact with any part of that other's body, or with
anything which that other is wearing or carrying, or with anything so situated that such contact affects that
other's sense of feeling: Provided that the person causing the motion, or change of motion, or cessation of
motion, causes that motion, change of motion, or cessation of motion in one of the three ways hereinafter
described:
First.—By his own bodily power.
Secondly.—By disposing any substance in such a manner that the motion or change or cessation of
motion takes place without any further act on his part, or on the part of any other person.
Thirdly.—By inducing any animal to move, to change its motion, or to cease to move.",,,,,351
350,criminal force ,"Whoever intentionally uses force to any person, without that person's consent,
in order to the committing of any offence, or intending by the use of such force to cause, or knowing it to
be likely that by the use of such force he will cause injury, fear or annoyance to the person to whom the
force is used, is said to use criminal force to that other.",,,,,352
351,assault,"Whoever makes any gesture, or any preparation intending or knowing it to be likely
that such gesture or preparation will cause any person present to apprehend that he who makes that
gesture or preparation is about to use criminal force to that person, is said to commit an assault.",,,,,353
352,Punishment for assault or criminal force otherwise than on grave provocation,"Whoever assaults or uses criminal force to any person otherwise than on grave and sudden provocation given by that person, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both. Explanation.—Grave and sudden provocation will not mitigate the punishment for an offence under this section, if the provocation is sought or voluntarily provoked by the offender as an excuse for the offence, or if the provocation is given by anything done in obedience to the law, or by a public servant, in the lawful exercise of the powers of such public servant, or if the provocation is given by anything done in the lawful exercise of the right of private defence. Whether the provocation was grave and sudden enough to mitigate the offence, is a question of fact.",,,,,354
353,Assault or criminal force to deter public servant from discharge of his duty,"Whoever assaults or uses criminal force to any person being a public servant in the execution of his duty as such public servant, or with intent to prevent or deter that person from discharging his duty as such public servant, or in consequence of anything done or attempted to be done by such person to the lawful discharge of his duty as such public servant, shall be punished with imprisonment of either description for
a term which may extend to two years, or with fine, or with both.",,,,"shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both",355
354,Assault or criminal force to woman with intent to outrage her modesty,"whoever assaults or uses criminal force to any woman, intending to outrage or knowing it to be likely that he will there by
outrage her modesty, 1[shall be punished with imprisonment of either description for a term which shall not be less
than one year but which may extend to five years, and shall also be liable to fine",,,,"shall be punished with imprisonment of either description for a term which shall not be less  than one year but which may extend to five years, and shall also be liable to fine",356
354A,Sexual harassment and punishment for sexual harassment.,"(1) A man committing any
of the following acts—
(i) physical contact and advances involving unwelcome and explicit sexual overtures; or
(ii) a demand or request for sexual favours; or
(iii) showing pornography against the will of a woman; or
(iv) making sexually coloured remarks,
shall be guilty of the offence of sexual harassment.
(2) Any man who commits the offence specified in clause (i) or clause (ii) or clause (iii) of
sub-section (1) shall be punished with rigorous imprisonment for a term which may extend to three years,
or with fine, or with both.
(3) Any man who commits the offence specified in clause (iv) of sub-section (1) shall be punished
with imprisonment of either description for a term which may extend to one year, or with fine, or with
both.",,,,"Any man who commits the offence specified in clause (i) or clause (ii) or clause (iii) of  sub-section (1) shall be punished with rigorous imprisonment for a term which may extend to three years,  or with fine, or with both.                                                                             Any man who commits the offence specified in clause (iv) of sub-section (1) shall be punished  with imprisonment of either description for a term which may extend to one year, or with fine, or with  both.",357
354B,Assault or use of criminal force to woman with intent to disrobe,"Any man who assaults
or uses criminal force to any woman or abets such act with the intention of disrobing or compelling her to
be naked, shall be punished with imprisonment of either description for a term which shall not be less
than three years but which may extend to seven years, and shall also be liable to fine.",,,,"shall be punished with imprisonment of either description for a term which shall not be less  than three years but which may extend to seven years, and shall also be liable to fine",358
354C,Voyeurism,"Any man who watches, or captures the image of a woman engaging in a private
act in circumstances where she would usually have the expectation of not being observed either by the
perpetrator or by any other person at the behest of the perpetrator or disseminates such image shall be
punished on first conviction with imprisonment of either description for a term which shall not be less
than one year, but which may extend to three years, and shall also be liable to fine, and be punished on a
second or subsequent conviction, with imprisonment of either description for a term which shall not be
less than three years, but which may extend to seven years, and shall also be liable to fine.",,,,"punished on first conviction with imprisonment of either description for a term which shall not be less  than one year, but which may extend to three years, and shall also be liable to fine, and be punished on a  second or subsequent conviction, with imprisonment of either description for a term which shall not be  less than three years, but which may extend to seven years, and shall also be liable to fine",359
354D,Stalking,"(1) Any man who—
(i) follows a woman and contacts, or attempts to contact such woman to foster personal
interaction repeatedly despite a clear indication of disinterest by such woman; or
(ii) monitors the use by a woman of the internet, email or any other form of electronic
communication,
commits the offence of stalking: Provided that such conduct shall not amount to stalking if the man who pursued it proves that—
(i) it was pursued for the purpose of preventing or detecting crime and the man accused of
stalking had been entrusted with the responsibility of prevention and detection of crime by the
State; or
(ii) it was pursued under any law or to comply with any condition or requirement imposed by
any person under any law; or
(iii) in the particular circumstances such conduct was reasonable and justified.
(2) Whoever commits the offence of stalking shall be punished on first conviction with imprisonment
of either description for a term which may extend to three years, and shall also be liable to fine; and be
punished on a second or subsequent conviction, with imprisonment of either description for a term which
may extend to five years, and shall also be liable to fine.",,,,"shall be punished on first conviction with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine; and be punished on a second or subsequent conviction, with imprisonment of either description for a term which may extend to five years, and shall also be liable to fine",360
