1,2,3,4,5,6,7,num,keyword,
344,Wrongful confinement for ten or more days,"Whoever wrongfully confines any person for ten days, or more, ",Was the person wrongfully confined for ten or more days?,,,,,"confine, trap, imprison, ten days","shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine."
345,Wrongful confinement of person for whose liberation writ has been issued,"Whoever keeps any person in wrongful confinement, knowing that a writ for the liberation of that person has been duly issued, ",Was the person wrongfully confined despite of his liberation writ being issued?,,,,,,shall be punished with imprisonment of either description for a term which may extend to two years in addition to any term of imprisonment to which he may be liable under any other section of this Chapter
346,Wrongful confinement in secret.,"Whoever wrongfully confines any person in such manner as
to indicate an intention that the confinement of such person may not be known to any person interested in
the person so confined, or to any public servant, or that the place of such confinement may not be known
to or discovered by any such person or public servant as hereinbefore mentioned,         secret, confine, trap, unkowingly, ",Did the person wrongfully confine someone secretly?,,,,,"secret, confine, trap, unkowingly, ",shall be punished with imprisonment of either description for a term which may extend to two years in addition to any other punishment to which he may be liable for such wrongful confinement.
347,"Wrongful confinement to extort property, or constrain to illegal act","Whoever wrongfully confines any person for the purpose of extorting from the person confined, or from any person interested in the person confined, any property or valuable security or of constraining the person confined or any person interested in such person to do anything illegal or to give any information which may facilitate the commission of an offence, .      blackmail, confine, trap, property, extort",Was the person wronfully confined to extort property ?,,,,,"blackmail, confine, trap, property, extort","shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine"
348,"Wrongful confinement to extort confession, or compel restoration of property.","Whoever wrongfully confines any person for the purpose of extorting from the person confined or any person interested in the person confined any confession or any information which may lead to the detection of an offence or misconduct, or for the purpose of constraining the person confined or any person interested in the person confined to restore or to cause the restoration of any property or valuable security or to satisfy any claim or demand, or to give information which may lead to the restoration of any property or valuable security, ",Was the person wronfully confined to extort confession or compel restoration of property ?,,,,,"confine, trap, blackmail, extort, information, confess, restore property","shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine."
353,Assault or criminal force to deter public servant from discharge of his duty,"Whoever assaults or uses criminal force to any person being a public servant in the execution of his duty as such public servant, or with intent to prevent or deter that person from discharging his duty as such public servant, or in consequence of anything done or attempted to be done by such person to the lawful discharge of his duty as such public servant, ",Did the person assault or use criminal force to force the public servant to defy from his duties?,,,,,"assault, force, public servant, officer, minister, duty","shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both"
354,Assault or criminal force to woman with intent to outrage her modesty,"whoever assaults or uses criminal force to any woman, intending to outrage or knowing it to be likely that he will there by
outrage her modesty, ",Did the person assault or criminaly force a woman to outrage her modesty?,,,,,"assault, force, woman, decency, modesty","shall be punished with imprisonment of either description for a term which shall not be less  than one year but which may extend to five years, and shall also be liable to fine"
356,Assault or criminal force in attempt to commit theft of property carried by a person.—,"Whoever assaults or uses criminal force to any person, in attempting to commit theft on any property which that person is then wearing or carrying, ",was the main intention of assault to attempt theft on any property,,,,,"assault, force, theft, robbery, stealing, property","shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both"
357,. Assault or criminal force in attempt wrongfully to confine a person,"Whoever assaults or uses criminal force to any person, in attempting wrongfully to confine that person, ",Did the person assault or use criminal force while attempting to wrongfully confine the person?,,,,,"force, trap, confine, imprison","shall be punished with imprisonment of either description for a term which may extend to one year, or with fine which may extend to one thousand rupees, or with both."
358,Assault or criminal force on grave provocation,"Whoever assaults or uses criminal force to any person on grave and sudden provocation given by that person, ",Did the person assault someone on some other person's provocation?,,,,,"provoke, assault, force, instigate, influence","shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to two hundred rupees, or with both."
360,Kidnapping from India,"Whoever conveys any person beyond the limits of India without
the consent of that person, or of some person legally authorised to consent on behalf of that person, is said
to kidnap that person from India.",Was the person carried or transported outside of India without his consent?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine."
361,Kidnapping from lawful guardianship.—,"Whoever takes or entices any minor under sixteen
years of age if a male, or under eighteen years of age if a female, or any person of unsound mind, out of
the keeping of the lawful guardian of such minor or person of unsound mind, without the consent of such
guardian, is said to kidnap such minor or person from lawful guardianship.",Was the personn taken away without the consent of their legal guardian?,Was the person a male under 16 years or a female under 18 years or a person of unsound mind?,,,,,"shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine."
362,Abduction,"Whoever by force compels, or by any deceitful means induces, any person to go
from any place, is said to abduct that person.",Was the person forcefully compelled or deceitfully induced to go away from any place?,,,,,,
364,Kidnapping or abducting in order to murder,"Whoever kidnaps or abducts any person in order that such person may be murdered or may be so disposed of as to be put in danger of being murdered, ",Was the person kidnapped or abducted in order to be murdered?,Was the person kidnapped or abducted in order to put him in a danger of being murdered?,,,,"kidnap, abduct, murder","shall be punished with 1 [imprisonment for life] or rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine."
365,Kidnapping or abducting with intent secretly and wrongfully to confine person,"Whoever kidnaps or abducts any person with intent to cause that person to be secretly and wrongfully confined, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",Was the person kidnapped or abducted secretly or wrongfully confined? ,,,,,"confine, trap, kidnap, abduct","shall be punished with imprisonment of either description for a term which may extend to seven years, 
and shall also be liable to fine.
"
366,". Kidnapping, abducting or inducing woman to compel her marriage, etc.—","Whoever kidnaps or abducts any woman with intent that she may be compelled, or knowing it to be likely that she will be compelled, to marry any person against her will, or in order that she may be forced or seduced to illicit intercourse, or knowing it to be likely that she will be forced or seduced to illicit intercourse, by means of criminal intimidation as defined in this Code or of abuse of authority or any other method of compulsion, induces any woman to go from any place with intent that she may be, or knowing that it is likely that she will be, forced or seduced to illicit intercourse with another person shall also be punishable as aforesaid].",Was the woman kidnapped or abducted and compelled to marry someone against her will?,Was the woman kidnapped or abducted and forced or seduced for illicit intercourse?,,,,"forcefully marry, compell, against will, kidnap, abduct, woman","shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine"
367,"Kidnapping or abducting in order to subject person to grievous hurt, slavery, etc","Whoever kidnaps or abducts any person in order that such person may be subjected, or may be so disposed of as to be put in danger of being subjected to grievous hurt, or slavery, or to the unnatural lust of any person, or knowing it to be likely that such person will be so subjected or disposed of, ","Is the kidnapped person subjected to grevious hurt,slavery or unnatural lust of other person?",,,,,"grevious hurt, slavery","shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
368,"Wrongfully concealing or keeping in confinement, kidnapped or abducted person","Whoever, knowing that any person has been kidnapped or has been abducted, wrongfully conceals or confines such person, shall be punished in the same manner as if he had kidnapped or abducted such person with the same intention or knowledge, or for the same purpose as that with or for which he conceals or detains such person in confinement",Did the person conceal or confine a kidnapped person?,,,,,"hide, conceal,cover, kidnap",
369,Kidnapping or abducting child under ten years with intent to steal from its person,"Whoever kidnaps or abducts any child under the age of ten years with the intention of taking dishonestly any movable property from the person of such child, ",Is the kidnapped child under the age of 10 years?,Did the kidnapping take place with an intention of dishonestly taking any moveable property from person of child?,,,,"kidnap, child, abduct, stealing, property","shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine."
371,Habitual dealing in slaves,"Whoever habitually imports, exports, removes, buys, sells, traffics or deals in slaves, ","Is the accused habitually involved in import,export,buying and selling of slaves?",,,,,,"shall be punished with 1 [imprisonment for life], or with imprisonment of either description for a term not exceeding ten years, and shall also be liable to fine."
372,"Selling minor for purposes of prostitution, etc.—","Whoever sells, lets to hire, or otherwise disposes of any 2 [person under the age of eighteen years with intent that such person shall at any age be employed or used for the purpose of prostitution or illicit intercourse with any person or for any unlawful and immoral purpose, or knowing it to be likely that such person will at any age be] employed or used for any such purpose, [Explanation I.—When a female under the age of eighteen years is sold, let for hire, or otherwise
disposed of to a prostitute or to any person who keeps or manages a brothel, the person so disposing of
such female shall, until the contrary is proved, be presumed to have disposed of her with the intent that
she shall be used for the purpose of prostitution.
Explanation II.—For the purposes of this section “illicit intercourse” means sexual intercourse
between persons not united by marriage or by any union or tie which, though not amounting to a
marriage, is recognised by the personal law or custom of the community to which they belong or, where
they belong to different communities, of both such communities, as constituting between them a quasimarital relation.]
",Was the female under the age of 18 years?,"Did the accused sell, let for hire, or otherwise
dispose of the female to a prostitute or to any person who keeps or manages a brothel?",,,,"prostitution, sell, sexual exploitation, hire, rent","shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine"
373,"Buying minor for purposes of prostitution, etc","Whoever buys, hires or otherwise obtains possession of any 2 [person under the age of eighteen years with intent that such person shall at any age be employed or used for the purpose of prostitution or illicit intercourse with any person or for any unlawful and immoral purpose, or knowing it to be likely that such person will at any age be] employed or used for any such purpose, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. 3 [Explanation I.—Any prostitute or any person keeping or managing a brothel, who buys, hires or otherwise obtains possession of a female under the age of eighteen years shall, until the contrary is proved, be presumed to have obtained possession of such female with the intent that she shall be used for the purpose of prostitution. Explanation II.—“Illicit intercourse” has the same meaning as in section 372.]",Was the female under the age of 18 years?,"Did a prostitute or a person managing a brothel buy, hire, or obtain possesion of the female ?",,,,"prostitution, buy, sexual exploitation, hire, rent","shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
374,Unlawful compulsory labour,Whoever unlawfully compels any person to labour against the will of that person,Was the person unlawfully compelled to labour against his will?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both."
375,Rape,"A man is said to commit “rape” if he—
(a) penetrates his penis, to any extent, into the vagina, mouth, urethra or anus of a woman or
makes her to do so with him or any other person; or
(b) inserts, to any extent, any object or a part of the body, not being the penis, into the vagina, the
urethra or anus of a woman or makes her to do so with him or any other person; or
(c) manipulates any part of the body of a woman so as to cause penetration into the vagina,
urethra, anus or any part of body of such woman or makes her to do so with him or any other person;
or
(d) applies his mouth to the vagina, anus, urethra of a woman or makes her to do so with him or
any other person,
under the circumstances falling under any of the following seven descriptions:—
First.—Against her will.
Secondly.—Without her consent.
Thirdly.—With her consent, when her consent has been obtained by putting her or any person in
whom she is interested, in fear of death or of hurt.
Fourthly.—With her consent, when the man knows that he is not her husband and that her
consent is given because she believes that he is another man to whom she is or believes herself to be
lawfully married. 
Fifthly.—With her consent when, at the time of giving such consent, by reason of unsoundness of
mind or intoxication or the administration by him personally or through another of any stupefying or
unwholesome substance, she is unable to understand the nature and consequences of that to which she
gives consent.
Sixthly.—With or without her consent, when she is under eighteen years of age.
Seventhly.—When she is unable to communicate consent.
Explanation 1.—For the purposes of this section, “vagina” shall also include labia majora.
Explanation 2.—Consent means an unequivocal voluntary agreement when the woman by words,
gestures or any form of verbal or non-verbal communication, communicates willingness to participate in
the specific sexual act:
Provided that a woman who does not physically resist to the act of penetration shall not by the reason
only of that fact, be regarded as consenting to the sexual activity.
Exception 1.—A medical procedure or intervention shall not constitute rape.
Exception 2.—Sexual intercourse or sexual acts by a man with his own wife, the wife not being under
fifteen years of age, is not rape.","Did the accused attempt rape, insert any object inside the woman or without her  consent",,,,,,Section 376
380,"Theft in dwelling house, etc","Whoever commits theft in any building, tent or vessel, which
building, tent or vessel is used as a human dwelling, or used for the custody of property",Was the theft commited in a dwelling house?,,,,,"Theft, robbery, stealing, house, flat, building","shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine."
381,Theft by clerk or servant of property in possession of master,"Whoever, being a clerk or
servant, or being employed in the capacity of a clerk or servant, commits theft in respect of any property
in the possession of his master or employer",Did the clerk or servant commit theft of some property owned by his master?,,,,,"servant, clerk, helper, theft","shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine"
382,"Theft after preparation made for causing death, hurt or restraint in order to the committing of the theft","Whoever commits theft, having made preparation for causing death, or hurt,
or restraint, or fear of death, or of hurt, or of restraint, to any person, in order to the committing of such
theft, or in order to the effecting of his escape after the committing of such theft, or in order to the
retaining of property taken by such theft","Did the person commit theft after making preparations for causing death, huurt or restraint?",,,,,,"shall be punished with rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine."
385,Putting person in fear of injury in order to commit extortion,"Whoever, in order to the committing of extortion, puts any person in fear, or attempts to put any person in fear, of any injury",Did the person threaten any person of injury to commit extortion?,,,,,"blackmail, threaten, extortion, injury","shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
386,Extortion by putting a person in fear of death or grievous hurt.,Whoever commits extortion by putting any person in fear of death or of grievous hurt to that person or to any other,Did the accused threaten you with extortion?,Were you given a warning of death or hurt?,,,,"blackmail, threaten, extortion, death, grevious hurt","shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
387,"Putting person in fear of death or of grievous hurt, in order to commit extortion","Whoever, in order to the committing of extortion, puts or attempts to put any person in fear of death or of
grievous hurt to that person or to any other",Were you first given a threat of death or grevious hurt?,Were you asked for extortion?,,,,,"shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine"
388,"Extortion by threat of accusation of an offence punishable with death or imprisonment for life, etc.—","Whoever commits extortion by putting any person in fear of an accusation against that person
or any other, of having committed or attempted to commit any offence punishable with death, or with

imprisonment for life .or with imprisonment for a term which may extend to ten years, or of having
attempted to induce any other person to commit such offence,",Did the person commit extortion by threatening someone of accusation of an offence punishable with death or imprisonment for life?,,,,,,", shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine; and, if the offence be one punishable under section 377 of this Code, may be punished with 1 [imprisonment for life]."
389,"Putting person in fear or accusation of offence, in order to commit extortion","Whoever, in order to the committing of extortion, puts or attempts to put any person in fear of an accusation, against
that person or any other, of having committed, or attempted to commit, an offence punishable with death
or with 1 [imprisonment for life], or with imprisonment for a term which may extend to ten years, shall be
punished with imprisonment of either description for a term which may extend to ten years, and shall also
be liable to fine; and, if the offence be punishable under section 377 of this Code, may be punished with
[imprisonment for life].",Did the person commit extortion by threatening someone of accusation of an offence?,,,,,"forceful, fees, blackmail, bully","shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine; and, if the offence be punishable under section 377 of this Code, may be punished with 1 [imprisonment for life"
393,Attempt to commit robbery,"Whoever attempts to commit robbery shall be punished with
rigorous imprisonment for a term which may extend to seven years, and shall also be liable to fine.",Did the person attempt to commit robbery?,,,,,"robbery, steal, theft, looter","shall be punished with rigorous imprisonment for a term which may extend to seven years, and shall also be liable to fine."
394,Voluntarily causing hurt in committing robbery,"If any person, in committing or in
attempting to commit robbery, voluntarily causes hurt, such person, and any other person jointly
concerned in committing or attempting to commit such robbery, shall be punished with 1
[imprisonment
for life], or with rigorous imprisonment for a term which may extend to ten years, and shall also be liable
to fine.",Did the person voluntarily cause hurt to someone while committing robbery?,,,,,"robbery, steal, theft, looter, ","shall be punished with 1 [imprisonment for life], or with rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine."
396,Dacoity with murder,"If any one of five or more persons, who are conjointly committing
dacoity, commits murder in so committing dacoity, every one of those persons shall be punished with
death, or 1[imprisonment for life], or rigorous imprisonment for a term which may extend to ten years,
and shall also be liable to fine.",Did the person commit murder during dacoity?,,,,,"dacoity, loot, murder, gang","shall be punished with death, or 1 [imprisonment for life], or rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine."
397,"Robbery, or dacoity, with attempt to cause death or grievous hurt","If, at the time of
committing robbery or dacoity, the offender uses any deadly weapon, or causes grievous hurt to any
person, or attempts to cause death or grievous hurt to any person, the imprisonment with which such
offender shall be punished shall not be less than seven years.",Did the person cause death or grevious hurt or attempt to do so at the time of robbery or dacoity?,,,,,"dacoity, loot, hurt, weapon, ",shall be punished shall not be less than seven years.
398,Attempt to commit robbery or dacoity when armed with deadly weapon,"If, at the time of
attempting to commit robbery or dacoity, the offender is armed with any deadly weapon, the
imprisonment with which such offender shall be punished shall not be less than seven years",Did the person posses any deadly weapon while committing robbery or dacoity?,,,,,"attempted robbery, attempted dacoity, weapon",the imprisonment with which such offender shall be punished shall not be less than seven years.
399,Making preparation to commit dacoity,"Whoever makes any preparation for committing
dacoity, shall be punished with rigorous imprisonment for a term which may extend to ten years, and shall
also be liable to fine.",Was the person making preparations for dacoity?,,,,,"preparing dacoity, preparing robbery","shall be punished with rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine"
401,Punishment for belonging to gang of thieves,"Whoever, at any time after the passing of this
Act, shall belong to any wandering or other gang of persons associated for the purpose of habitually
committing theft or robbery, and not being a gang of thugs or dacoits, shall be punished with rigorous
imprisonment for a term which may extend to seven years, and shall also be liable to fine",Are you a gang member of that gang?/ were you in a gang?,Did you threaten people?,,,,,"shall be punished with rigorous imprisonment for a term which may extend to seven years, and shall also be liable to fine."
402,Assembling for purpose of committing dacoity,"Whoever, at any time after the passing of
this Act, shall be one of five or more persons assembled for the purpose of committing dacoity",Were you involved in a robbery?,,,,,,"shall be punished with rigorous imprisonment for a term which may extend to seven years, and shall also be liable to fine"
403,. Dishonest misappropriation of property,"Whoever dishonestly misappropriates or converts
to his own use any movable property",Did the accused dishonestly convert someone's property to his own for his own use?,,,,,,"be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both"
404,Dishonest misappropriation of property possessed by deceased person at the time of his death,"Whoever dishonestly misappropriates or converts to his own use property, knowing that such
property was in the possession of a deceased person at the time of that person's decease, and has not since
been in the possession of any person legally entitled to such possession,",Did the property belong to a deceased person at the time of his death?,,,,,"passed away, dead, deceased, property","shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine, and if the offender at the time of such person's decease was employed by him as a clerk or servant, the imprisonment may extend to seven years."
407,"Criminal breach of trust by carrier, etc","Whoever, being entrusted with property as a carrier, wharfinger or warehouse-keeper, commits criminal breach of trust in respect of such property,",Was the person who committed criminal breach of trust in respect of that property a carrier or warehouse keeper?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine."
408,Criminal breach of trust by clerk or servant.,"—Whoever, being a clerk or servant or employed as a clerk or servant, and being in any manner entrusted in such capacity with property, or with any dominion over property, commits criminal breach of trust in respect of that property",Was the person who committed criminal breach of trust in respect of that property a clerk or servant?,,,,,"servant, househelp, clerk, assistant","shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine"
409,"Criminal breach of trust by public servant, or by banker, merchant or agent","Whoever,
being in any manner entrusted with property, or with any dominion over property in his capacity of a
public servant or in the way of his business as a banker, merchant, factor, broker, attorney or agent,
commits criminal breach of trust in respect of that property,",Did a person who was entrusted with property commit criminal breach of trust?,,,,,,"shall be punished with 1 [imprisonment for life], or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
410,Stolen property,"Property, the possession whereof has been transferred by theft, or by
extortion, or by robbery, and property which has been criminally misappropriated or in respect of which
criminal breach of trust has been committed, is designated as “stolen property”, whether the
transfer has been made, or the misappropriation or breach of trust has been committed, within or without
India. But, if such property subsequently comes into the possession of a person legally entitled to the
possession thereof, it then ceases to be stolen property.","Was the property possessed through theft, extortion or criminal breach of trust?",,,,,,
411,Dishonestly receiving stolen property,"Whoever dishonestly receives or retains any stolen
property, knowing or having reason to believe the same to be stolen property,",Did the person dishonestly receive any stolen property?,,,,,"stolen, receive, taken, possesed","shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both."
412,Dishonestly receiving property stolen in the commission of a dacoity,"Whoever dishonestly
receives or retains any stolen property, the possession whereof he knows or has reason to believe to have
been transferred by the commission of dacoity, or dishonestly receives from a person, whom he knows or
has reason to believe to belong or to have belonged to a gang of dacoits, property which he knows or has
reason to believe to have been stolen,",Was the stolen property received from a dacoity?,,,,,"receive, take, possess, retain, dacoity, property","shall be punished with 1 [imprisonment for life], or with rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine."
413, Habitually dealing in stolen property.,"Whoever habitually receives or deals in property
which he knows or has reason to believe to be stolen property,",Does the person regularly deal in stolen property?,,,,,"regularly, frequently, habitually, deal, sell, buy, property","shall be punished with 1 [imprisonment for life], or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
414,Assisting in concealment of stolen property.,"Whoever voluntarily assists in concealing or
disposing of or making away with property which he knows or has reason to believe to be stolen property,
",Did the person help in concealing the stolen property?,,,,,,"punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both."
416,Cheating by personation,"A person is said to “cheat by personation” if he cheats by pretending to be some other person, or by knowingly substituting one person for or another, or representing that he or any other person is a person other than he or such other person really is.",Did the person pretend to be someone else?,,,,,,"419. Punishment for cheating by personation.—Whoever cheats by personation shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both"
418,Cheating with knowledge that wrongful loss may ensue to person whose interest offender is bound to protect,"Whoever cheats with the knowledge that he is likely thereby to cause wrongful loss to a person whose interest in the transaction to which the cheating relates, he was bound, either by law, or by a legal contract, to protect",Did the person cause a wrongful loss to the person he cheated on?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both."
420,Cheating and dishonestly inducing delivery of property.—,"Whoever cheats and thereby
dishonestly induces the person deceived to deliver any property to any person, or to make, alter or destroy
the whole or any part of a valuable security, or anything which is signed or sealed, and which is capable
of being converted into a valuable security,",Did the person induce the person deceived to deliver any property to someone?,,,,,,"punished with imprisonment of either description for a 
term which may extend to seven years, and shall also be liable to fine.
"
421,Dishonest or fraudulent removal or concealment of property to prevent distribution among creditors.—,"Whoever dishonestly or fraudulently removes, conceals or delivers to any person, or transfers or causes to be transferred to any person, without adequate consideration, any property, intending thereby to prevent, or knowing it to be likely that he will thereby prevent, the distribution of that property according to law among his creditors or the creditors of any other person",Did the accused fraudulently conceal or remove property to prevent its distribution?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
422,Dishonestly or fraudulently preventing debt being available for creditors,Whoever dishonestly or fraudulently prevents any debt or demand due to himself or to any other person from being made available according to law for payment of his debts or the debts of such other person,Did the person prevent debt being available to the creditors?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
423,Dishonest or fraudulent execution of deed of transfer containing false statement of consideration,"Whoever dishonestly or fraudulently signs, executes or becomes a party to any deed or instrument which purports to transfer or subject to any charge any property, or any interest therein, and which contains any false statement relating to the consideration for such transfer or charge, or relating to the person or persons for whose use or benefit it is really intended to operate",Did the accused dishonestly or fraudently signed or executed a deed?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
424,Dishonest or fraudulent removal or concealment of property,"Whoever dishonestly or fraudulently conceals or removes any property of himself or any other person, or dishonestly or fraudulently assists in the concealment or removal thereof, or dishonestly releases any demand or claim to which he is entitled",Did the person fraudulently remove or conceal any property?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
427,Mischief causing damage to the amount of fifty rupees,"Whoever commits mischief and
thereby causes loss or damage to the amount of fifty rupees or upwards",Did the mischief cause a damage of Rs.50 or above?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
428,Mischief by killing or maiming animal of the value of ten rupees.—,"Whoever commits
mischief by killing, poisoning, maiming or rendering useless any animal or animals of the value of the ten
rupees or upwards,",Did the mischief involve killing of an animal witha a value of above Rs.10?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
429,"Mischief by killing or maiming cattle, etc., of any value or any animal of the value of fifty
rupees.","—Whoever commits mischief by killing, poisoning, maiming or rendering useless, any elephant,
camel, horse, mule, buffalo, bull, cow or ox, whatever may be the value thereof, or any other animal of
the value of fifty rupees or upwards,",Did the mischief involve killing of an animal witha a value of above Rs.50?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to five years, or with fine, or with both"
430,Mischief by injury to works of irrigation or by wrongfully diverting water,"Whoever
commits mischief by doing any act which causes, or which he knows to be likely to cause, a diminution
of the supply of water for agricultural purposes, or for food or drink for human beings or for animals
which are property, or for cleanliness or for carrying on any manufacture",Did the person commit a mischief by reducing the flow of water needed for various daily uses?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to five years, or with fine, or with both."
431,"Mischief by injury to public road, bridge, river or channel","—Whoever commits mischief by doing any act which renders or which he knows to be likely to render any public road, bridge, navigable river or navigable channel, natural or artificial, impassable or less safe for travelling or conveying property","Did the person cause damage to any public property like road,bridge river etc.?",,,,,,"shall be punished with imprisonment of either description for a term which may extend to five years, or with fine, or with both."
432,Mischief by causing inundation or obstruction to public drainage attended with damage,"Whoever commits mischief by doing any act which causes or which he knows to be likely to cause an
inundation or an obstruction to any public drainage attended with injury or damage,",Did the act cause flooding or obtruction in public drainage?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to five years, or with fine, or with both."
433,"Mischief by destroying, moving or rendering less useful a light-house or sea-mark","Whoever commits mischief by destroying or moving any light-house or other light used as a sea-mark, or
any sea- mark or buoy or other thing placed as a guide for navigators, or by any act which renders any
such light-house, sea-mark, buoy or other such thing as aforesaid less useful as a guide for navigators,
",Did the person damage or destroy a lighthouse or any sea mark?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both"
434,"Mischief by destroying or moving, etc., a land-mark fixed by public authority.","Whoever
commits mischief by destroying or moving any land-mark fixed by the authority of a public servant, or by
any act which renders such land-mark less useful as such,",Did the person destroy or move any mark fixed by public authority?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both."
435," Mischief by fire or explosive substance with intent to cause damage to amount of one
hundred or (in case of agricultural produce) ten rupees","Whoever commits mischief by fire or any
explosive substance intending to cause, or knowing it to be likely that he will thereby cause, damage to
any property to the amount of one hundred rupees or upwards 
[or (where the property is agricultural
produce) ten rupees or upwards],",Did the person damage any property by fire or explosives to an amount of Rs.100 or above?,Was the damaged property an agricultural property with a value of Rs. 10 and above?,,,,,shall be punished with imprisonment of either description for a term which may extend to seven years and shall also be liable to fine.
436,"Mischief by fire or explosive substance with intent to destroy house, etc","Whoever commits
mischief by fire or any explosive substance, intending to cause, or knowing it to be likely that he will
thereby cause, the destruction of any building which is ordinarily used as a place of worship or as a
human dwelling or as a place for the custody of property,
",Did the person use fire or explosives to burn a house?,,,,,,"shall be punished with 2 [imprisonment for life], or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
437,"Mischief with intent to destroy or make unsafe a decked vessel or one of twenty tons
burden.—","Whoever commits mischief to any decked vessel or any vessel of a burden of twenty tons or
upwards, intending to destroy or render unsafe, or knowing it to be likely that he will thereby destroy or
render unsafe, that vessel,",Was the vessel decked or with a burden of twenty tons and above?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
440,Mischief committed after preparation made for causing death or hurt,"Whoever commits
mischief, having made preparation for causing to any person death, or hurt, or wrongful restraint, or fear
of death, or of hurt, or of wrongful restraint,",Did the person commit a mischief to cause death or hurt to a person?,,,,,,"shall be punished with imprisonment of either description for a 
term which may extend to five years, and shall also be liable to fine.
"
449,House-trespass in order to commit offence punishable with death,"Whoever commits
house-trespass in order to the committing of any offence punishable with death,",Was the house trespass commited in order of committing an offence punishable with death?,,,,,,"shall be punished with 1 [imprisonment for life], or with rigorous imprisonment for a term not exceeding ten years, and shall also be liable to fine."
450,House-trespass in order to commit offence punishable with imprisonment for life.—,Whoever commits house-trespass in order to the committing of any offence punishable with imprisonment for life,Was the house trespass commited in order of committing an offence punishable with imprisonment for life?,,,,,,"shall be punished with imprisonment of either description for a term not exceeding ten years, and shall also be liable to fine."
451,House-trespass in order to commit offence punishable with imprisonment,"Whoever
commits house-trespass in order to the committing of any offence punishable with imprisonment,",Was the house trespass commited in order of committing an offence punishable with imprisonment?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to two years, and shall also be liable to fine; and if the offence intended to be committed is theft, the term of the imprisonment may be extended to seven years."
